centroids,0.04336692314831022,1.1965382993221283,3.3629067625318254,6.656138147626605,15.08805422782898,29.494842529296875,43.90909090909091,56.09739398956299
relative_times,0,14.0,14.0,20.0,44.0,43.0,46.0,42.0,45.0,43.0,44.0,45.0,44.0,43.0,44.0,18.0,14.0
quantized_values,a,e,e,e,g,g,g,g,g,g,g,g,g,g,g,e,e
